,age,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
1295,24,single,tertiary,172.0,no,no,3,jul,67,2,-1,0,no
321,37,married,secondary,-67.0,no,no,2,feb,157,1,-1,0,no
1907,59,divorced,tertiary,7813.0,yes,no,21,nov,75,1,-1,0,no
2807,60,married,unknown,1088.0,yes,no,26,may,149,1,-1,0,no
3256,36,married,tertiary,495.0,no,no,12,mar,213,3,182,6,yes
3949,38,married,primary,21.0,no,no,26,aug,634,2,-1,0,no
3848,26,single,tertiary,1274.0,yes,no,1,jun,190,1,84,1,no
44,32,single,tertiary,2204.0,yes,no,21,nov,11,4,-1,0,no
4385,32,divorced,secondary,1121.0,yes,yes,16,apr,211,3,-1,0,no
1293,46,divorced,tertiary,743.0,no,no,5,jun,36,2,-1,0,no
1793,39,divorced,secondary,399.0,yes,yes,14,aug,133,2,-1,0,no
3809,52,married,secondary,161.0,yes,no,13,may,274,2,-1,0,no
801,30,single,secondary,445.0,yes,no,16,apr,218,1,330,2,no
2016,43,married,secondary,7876.0,yes,no,11,aug,209,2,-1,0,no
1894,53,married,unknown,619.0,no,no,17,jun,198,6,-1,0,no
1832,40,divorced,secondary,-81.0,no,yes,23,jul,186,1,-1,0,no
256,34,married,tertiary,415.0,no,yes,23,jul,361,2,-1,0,no
1204,44,married,tertiary,3463.0,yes,yes,28,aug,210,3,-1,0,no
3543,39,married,secondary,6.0,yes,no,18,may,122,3,357,4,no
647,46,divorced,tertiary,6269.0,yes,no,18,nov,249,3,112,2,no
4152,21,single,secondary,6844.0,no,no,14,aug,126,3,127,7,no
1242,35,married,primary,298.0,yes,no,13,may,135,2,370,2,no
3414,38,single,secondary,173.0,no,no,29,aug,150,4,-1,0,no
3091,38,married,secondary,376.0,yes,no,7,may,1521,1,-1,0,no
1406,44,single,secondary,2524.0,no,no,19,jun,82,1,-1,0,no
3306,52,married,secondary,693.0,no,no,12,jun,271,1,-1,0,no
4505,32,single,secondary,620.0,yes,no,26,may,1234,3,-1,0,yes
1505,30,married,secondary,124.0,no,no,16,jun,161,2,-1,0,no
1880,40,married,tertiary,-495.0,no,yes,29,jul,303,2,-1,0,no
2577,39,married,primary,2226.0,yes,no,6,may,158,1,-1,0,no
263,53,married,tertiary,624.0,no,yes,21,jul,180,4,-1,0,no
1330,27,married,secondary,-584.0,yes,no,7,may,411,2,-1,0,no
56,57,married,secondary,82.0,no,yes,4,feb,140,1,-1,0,no
2018,54,divorced,tertiary,7010.0,no,no,11,mar,275,2,-1,0,no
4184,47,married,tertiary,6637.0,yes,no,17,apr,174,2,-1,0,no
2848,80,married,secondary,462.0,no,no,7,dec,127,2,-1,0,no
4455,50,married,secondary,181.0,yes,no,17,apr,599,2,-1,0,no
1444,57,divorced,primary,13.0,yes,no,8,may,323,2,368,2,no
3111,39,married,secondary,0.0,yes,no,27,aug,63,3,-1,0,no
682,37,married,secondary,4153.0,yes,no,31,jul,35,16,-1,0,no
2721,31,single,primary,-280.0,no,no,21,may,281,3,-1,0,no
1407,36,single,tertiary,9019.0,yes,no,11,jun,952,3,-1,0,no
2763,57,married,tertiary,10.0,no,no,8,jul,320,3,-1,0,no
286,47,married,secondary,1060.0,yes,no,6,jun,83,3,-1,0,no
1454,45,single,primary,1893.0,yes,no,3,jun,1259,6,-1,0,yes
1974,44,single,secondary,7138.0,no,no,8,aug,809,2,-1,0,yes
3780,26,single,tertiary,170.0,no,no,15,jun,129,1,-1,0,yes
1413,42,married,primary,1520.0,yes,no,5,feb,115,1,-1,0,no
1451,29,married,secondary,3748.0,no,no,28,may,322,3,-1,0,no
1479,31,married,primary,620.0,no,no,30,mar,95,1,-1,0,no
736,52,divorced,secondary,204.0,no,no,7,aug,134,2,-1,0,no
1626,55,married,secondary,0.0,yes,no,30,may,119,2,-1,0,no
4012,30,married,tertiary,0.0,yes,no,24,jul,209,2,-1,0,no
2520,38,divorced,tertiary,4425.0,yes,no,30,may,162,1,-1,0,no
2290,38,married,tertiary,228.0,yes,no,5,feb,105,1,-1,0,no
3877,62,married,secondary,367.0,no,no,2,mar,139,5,-1,0,no
1071,38,married,secondary,0.0,yes,no,13,may,57,5,349,1,no
1789,41,married,secondary,641.0,yes,no,13,may,161,1,-1,0,no
2316,43,married,tertiary,13342.0,yes,no,18,nov,465,1,-1,0,no
3253,39,married,unknown,157.0,yes,no,30,may,99,6,-1,0,no
2361,37,divorced,secondary,532.0,yes,no,11,jun,199,1,-1,0,no
3188,38,divorced,tertiary,86.0,yes,no,6,may,218,1,-1,0,no
3218,49,married,secondary,1916.0,no,yes,14,jul,281,3,-1,0,no
2767,47,married,secondary,1121.0,no,no,20,jun,454,6,-1,0,no
498,38,single,secondary,258.0,no,yes,20,jun,587,2,-1,0,no
3765,55,divorced,secondary,3450.0,no,no,10,feb,169,1,183,1,yes
1412,57,divorced,unknown,4012.0,no,no,20,nov,915,1,-1,0,no
2117,40,married,primary,1832.0,no,no,6,feb,213,4,-1,0,no
3443,40,married,secondary,6767.0,yes,no,20,nov,97,2,-1,0,no
1488,46,married,tertiary,1008.0,no,no,29,aug,24,13,-1,0,no
2620,28,single,secondary,1453.0,yes,no,12,may,246,1,343,1,no
1983,34,single,secondary,105.0,yes,no,7,may,146,2,171,3,no
1022,31,married,secondary,1243.0,yes,no,21,may,32,1,-1,0,no
1779,32,single,tertiary,13711.0,yes,no,14,may,638,1,175,3,no
4421,30,single,tertiary,7845.0,yes,no,3,jun,59,1,-1,0,no
1803,31,single,secondary,1987.0,yes,no,20,nov,55,2,-1,0,no
3916,38,married,tertiary,0.0,yes,no,18,nov,185,3,-1,0,no
665,54,married,secondary,0.0,no,no,16,nov,986,1,94,8,no
3223,31,married,tertiary,0.0,no,no,14,may,298,1,-1,0,no
2181,32,single,secondary,33.0,yes,no,18,may,125,1,368,4,no
1017,49,married,secondary,-454.0,yes,no,14,may,558,1,-1,0,yes
3881,44,single,secondary,1679.0,no,no,20,oct,718,1,-1,0,yes
1924,44,divorced,secondary,-329.0,yes,no,7,may,171,1,-1,0,no
2758,57,married,tertiary,46.0,no,no,7,aug,238,2,-1,0,no
1550,40,married,secondary,1012.0,yes,no,6,may,410,1,-1,0,no
1235,32,married,secondary,-632.0,yes,yes,20,apr,18,5,-1,0,no
245,36,married,tertiary,0.0,yes,no,28,jan,60,1,250,1,no
266,29,single,secondary,872.0,yes,no,7,may,230,1,-1,0,no
3196,46,married,tertiary,137.0,yes,yes,5,may,246,1,-1,0,no
1114,36,divorced,secondary,487.0,no,yes,11,aug,268,3,-1,0,no
63,48,married,secondary,1355.0,no,no,4,jul,134,2,-1,0,no
4174,42,single,tertiary,10907.0,no,no,4,may,74,3,-1,0,no
1602,47,divorced,secondary,162.0,yes,no,9,may,203,4,-1,0,no
2281,58,married,secondary,983.0,no,no,5,aug,139,1,-1,0,no
2476,45,married,secondary,2571.0,no,no,18,jun,146,2,-1,0,no
4258,29,single,tertiary,5980.0,yes,no,28,may,317,1,-1,0,no
2321,27,single,secondary,54.0,yes,no,28,may,543,2,-1,0,yes
1749,40,single,tertiary,825.0,yes,no,20,apr,38,1,335,1,no
1455,39,married,tertiary,14.0,no,no,28,jan,114,2,-1,0,no
2264,51,married,tertiary,-15.0,no,no,25,jul,212,2,-1,0,no
103,57,single,primary,3777.0,yes,no,13,may,65,2,-1,0,no
2186,39,married,secondary,1367.0,no,no,12,jun,43,1,-1,0,no
3676,47,married,secondary,2322.0,no,no,22,aug,618,1,-1,0,no
508,41,single,secondary,428.0,yes,no,12,may,92,1,-1,0,no
1694,58,married,tertiary,1798.0,yes,no,5,feb,19,8,-1,0,no
4458,29,single,tertiary,572.0,no,no,16,dec,314,1,195,1,yes
1221,30,married,secondary,1772.0,yes,no,13,apr,158,4,-1,0,no
865,32,single,secondary,-255.0,no,yes,2,jul,957,3,-1,0,no
2004,28,single,secondary,1065.0,yes,yes,17,apr,406,1,317,1,no
908,30,single,secondary,3485.0,no,no,2,feb,142,2,-1,0,no
3043,40,married,primary,1397.0,yes,no,12,may,58,2,334,1,no
835,27,single,secondary,-151.0,no,no,8,,283,2,-1,0,no
358,48,divorced,secondary,4099.0,no,no,2,apr,397,2,-1,0,yes
3554,43,married,secondary,50.0,no,no,28,may,63,1,-1,0,no
299,32,married,secondary,759.0,yes,no,9,apr,317,5,-1,0,yes
1003,34,married,tertiary,355.0,yes,no,16,may,261,1,-1,0,no
2459,46,married,primary,0.0,no,no,2,feb,161,1,-1,0,no
3659,52,married,secondary,64.0,no,no,29,aug,20,2,-1,0,no
1417,40,married,primary,0.0,yes,no,6,may,64,2,-1,0,no
761,27,single,primary,1128.0,yes,no,30,jun,88,4,-1,0,no
3757,35,single,tertiary,2288.0,no,no,28,may,32,2,-1,0,no
1467,53,divorced,secondary,0.0,no,no,12,mar,80,2,-1,0,yes
1468,38,married,tertiary,0.0,yes,no,13,may,537,5,303,2,no
4225,65,married,unknown,4717.0,no,no,6,aug,256,1,-1,0,yes
1438,57,married,primary,2927.0,no,yes,30,jul,78,5,-1,0,no
3107,37,married,secondary,658.0,yes,no,23,jul,175,1,-1,0,no
3836,39,married,secondary,3663.0,no,no,11,aug,230,3,-1,0,no
1741,41,married,tertiary,51.0,no,no,25,aug,140,8,-1,0,no
1188,38,married,primary,2569.0,no,no,9,jun,172,1,-1,0,no
2457,50,divorced,secondary,32.0,no,no,4,aug,282,2,-1,0,no
3571,26,married,secondary,2469.0,no,no,16,jul,136,8,-1,0,no
2825,57,married,primary,179.0,no,no,9,jun,230,3,-1,0,no
108,56,married,primary,3391.0,no,no,21,apr,243,1,-1,0,yes
1818,48,married,secondary,340.0,yes,no,28,jan,255,2,-1,0,no
1313,32,single,tertiary,151.0,yes,no,6,may,118,1,-1,0,no
58,36,single,secondary,101.0,yes,yes,26,may,314,1,-1,0,no
76,41,divorced,secondary,174.0,yes,no,14,may,367,2,297,1,no
3784,28,single,secondary,2034.0,yes,no,21,may,196,1,-1,0,no
368,60,single,primary,11262.0,no,no,26,aug,323,1,-1,0,yes
1515,46,married,primary,19.0,yes,no,21,jul,171,1,-1,0,no
785,23,married,tertiary,-230.0,yes,no,18,may,259,2,-1,0,no
1491,41,married,secondary,351.0,yes,no,9,jul,175,1,-1,0,no
2028,45,married,secondary,245.0,yes,no,14,may,126,3,-1,0,no
1411,35,single,secondary,0.0,yes,no,16,apr,1174,1,345,4,yes
2661,57,married,primary,1238.0,yes,no,15,jul,274,1,-1,0,no
3801,48,married,secondary,7020.0,no,no,6,aug,80,2,-1,0,no
4050,37,married,unknown,47.0,no,no,19,jun,374,3,-1,0,no
121,45,married,primary,419.0,no,no,18,aug,113,4,-1,0,no
4397,35,married,secondary,305.0,yes,no,18,may,7,7,367,25,no
3868,31,single,secondary,-407.0,no,yes,7,jul,230,1,-1,0,no
3430,30,single,tertiary,1922.0,yes,no,18,may,546,1,-1,0,no
910,40,married,secondary,952.0,no,yes,12,jun,140,1,-1,0,no
124,51,single,tertiary,-55.0,yes,no,11,may,281,2,266,6,no
1937,30,single,secondary,-770.0,yes,no,28,may,87,1,-1,0,no
2865,51,divorced,secondary,9228.0,no,no,18,jul,655,4,-1,0,yes
3289,58,married,tertiary,16264.0,no,no,17,nov,215,3,-1,0,no
1178,27,divorced,secondary,1.0,yes,no,14,jul,116,3,-1,0,no
3026,39,divorced,tertiary,26.0,no,no,18,jun,311,5,-1,0,no
3983,40,divorced,tertiary,1871.0,yes,no,17,nov,64,1,-1,0,no
442,42,single,secondary,275.0,no,no,26,aug,31,8,-1,0,no
2587,38,married,tertiary,389.0,yes,no,6,may,262,1,-1,0,no
2757,59,married,unknown,0.0,no,no,8,may,425,6,-1,0,no
4171,42,married,primary,969.0,yes,no,13,may,721,1,-1,0,no
1788,40,married,secondary,113.0,yes,no,4,jun,126,1,-1,0,no
1227,30,single,secondary,75.0,yes,no,16,may,123,1,-1,0,no
2176,28,single,secondary,-46.0,yes,no,1,sep,199,1,92,14,yes
324,47,married,primary,214.0,yes,yes,9,jun,168,1,-1,0,no
2533,57,married,tertiary,2416.0,no,no,11,aug,74,2,-1,0,no
1356,30,single,tertiary,604.0,no,yes,2,feb,475,1,-1,0,no
3741,51,married,primary,30.0,yes,no,14,jul,333,2,-1,0,no
4244,39,divorced,secondary,83.0,yes,no,30,jul,69,6,-1,0,no
3906,51,married,primary,844.0,yes,no,29,may,184,3,-1,0,no
1006,40,married,tertiary,5.0,yes,no,18,nov,219,3,-1,0,no
3553,68,married,secondary,19317.0,yes,no,4,aug,249,1,-1,0,yes
1225,51,married,secondary,160.0,yes,no,7,may,136,1,359,1,no
1760,35,married,secondary,0.0,yes,no,9,nov,524,1,96,5,yes
4460,40,married,secondary,-396.0,yes,no,26,may,127,1,-1,0,no
1216,29,single,tertiary,15459.0,no,no,26,may,245,3,97,7,no
3260,45,married,primary,542.0,no,no,11,may,8,5,350,3,no
3585,33,married,secondary,-118.0,yes,yes,27,may,421,3,-1,0,no
2810,29,single,secondary,103.0,no,no,19,may,314,1,-1,0,no
6,36,married,tertiary,307.0,yes,no,14,may,341,1,330,2,no
932,39,divorced,tertiary,3575.0,no,yes,18,aug,74,3,-1,0,no
439,44,married,tertiary,22.0,yes,no,6,aug,265,2,-1,0,no
3862,57,married,secondary,49.0,yes,yes,25,aug,93,4,-1,0,no
2915,56,divorced,primary,694.0,no,no,29,jan,144,1,102,1,yes
3109,35,single,tertiary,0.0,no,yes,14,aug,370,4,-1,0,no
4194,32,single,secondary,133.0,no,no,15,apr,171,1,-1,0,yes
1536,32,single,secondary,2979.0,no,no,25,may,156,1,-1,0,no
2088,26,single,tertiary,592.0,no,no,29,jan,145,2,164,1,no
3620,60,divorced,secondary,598.0,no,yes,8,jul,96,1,-1,0,no
2215,34,single,unknown,1534.0,yes,no,16,apr,156,1,147,7,no
1702,51,divorced,secondary,343.0,yes,no,30,may,78,2,-1,0,no
3580,38,married,tertiary,6704.0,yes,no,21,may,205,2,-1,0,no
4188,43,married,primary,487.0,yes,no,7,may,548,2,-1,0,no
2183,46,married,primary,174.0,no,yes,15,jul,90,1,-1,0,no
194,23,single,secondary,9216.0,no,no,5,jun,471,2,-1,0,no
1903,60,married,secondary,197.0,no,no,7,oct,1386,1,-1,0,no
2011,31,married,primary,0.0,yes,yes,12,may,59,4,-1,0,no
2232,38,married,secondary,7696.0,yes,no,20,nov,386,2,-1,0,no
2483,40,married,secondary,271.0,yes,no,29,may,483,2,-1,0,no
2260,47,divorced,secondary,691.0,no,no,6,feb,285,6,-1,0,no
3220,34,married,secondary,470.0,yes,yes,20,apr,217,1,-1,0,no
1130,29,married,tertiary,877.0,no,no,3,feb,166,3,-1,0,no
2742,47,married,secondary,1203.0,yes,no,17,apr,239,2,-1,0,no
2875,29,single,secondary,778.0,yes,no,6,jun,1994,2,-1,0,no
222,49,married,primary,365.0,no,no,26,may,59,2,-1,0,no
4443,28,single,tertiary,0.0,no,no,27,may,198,2,-1,0,no
3792,42,married,secondary,2.0,no,no,29,may,249,2,-1,0,no
573,81,married,secondary,1.0,no,no,19,aug,65,5,-1,0,no
1236,32,single,secondary,116.0,no,yes,16,jul,255,2,-1,0,no
2880,43,married,secondary,481.0,yes,no,18,nov,164,1,110,2,no
4096,26,married,tertiary,37.0,yes,yes,6,may,207,1,363,2,no
418,39,married,secondary,167.0,yes,yes,17,jul,330,1,-1,0,no
2413,36,married,secondary,257.0,yes,no,12,may,86,2,-1,0,no
1104,37,single,primary,851.0,yes,no,15,may,151,1,352,1,no
257,28,single,secondary,16.0,no,no,12,aug,119,4,-1,0,no
295,49,divorced,unknown,-701.0,yes,no,30,jul,988,2,-1,0,yes
3912,36,married,secondary,80.0,yes,no,30,may,251,3,-1,0,no
4041,33,divorced,secondary,474.0,no,no,22,jul,400,2,-1,0,no
4392,50,married,secondary,3357.0,no,no,9,jun,239,4,-1,0,yes
4129,33,married,secondary,-163.0,yes,yes,8,aug,502,2,-1,0,no
3192,37,married,tertiary,6968.0,no,no,1,jun,175,1,-1,0,no
3833,47,divorced,secondary,1139.0,yes,no,11,jul,106,2,-1,0,no
712,28,single,tertiary,102.0,no,no,28,jan,321,2,-1,0,no
4346,44,married,secondary,10888.0,yes,no,5,aug,163,1,-1,0,no
1835,46,married,tertiary,-3.0,no,no,28,aug,205,2,-1,0,no
