age,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
41,married,unknown,89,yes,no,6,may,333,2,-1,0,no
36,single,tertiary,442,yes,yes,29,jul,102,3,-1,0,no
45,divorced,primary,-249,yes,yes,1,jul,92,1,-1,0,no
55,married,,8104,no,no,6,feb,213,2,-1,0,no
39,married,secondary,501,no,no,26,may,289,1,-1,0,no
35,divorced,secondary,308,no,no,22,aug,77,2,-1,0,no
55,married,secondary,602,no,no,1,jun,324,3,90,2,yes
55,married,secondary,273,yes,no,29,jan,84,3,183,3,no
27,single,secondary,50,no,no,29,jan,168,1,-1,0,no
34,married,secondary,1641,yes,no,17,apr,380,1,-1,0,no
34,married,tertiary,20,no,no,4,oct,10,1,-1,0,no
25,single,secondary,4590,yes,no,28,may,199,2,-1,0,no
41,single,secondary,-256,no,yes,9,may,35,3,-1,0,no
43,married,secondary,978,yes,yes,26,may,82,2,-1,0,no
28,single,tertiary,80,no,no,20,oct,676,2,146,2,yes
31,single,secondary,2104,yes,no,3,jun,455,1,-1,0,no
78,married,secondary,499,no,no,16,mar,80,4,-1,0,no
45,divorced,secondary,1269,yes,no,29,jan,549,2,-1,0,no
48,married,tertiary,310,no,no,6,may,135,1,-1,0,no
32,single,secondary,1143,yes,yes,10,jul,412,1,-1,0,no
42,married,secondary,2980,no,no,20,jun,101,3,-1,0,no
37,single,tertiary,37,no,no,28,jan,253,2,-1,0,no
40,single,secondary,462,yes,yes,6,apr,272,1,335,4,no
32,married,secondary,1031,yes,no,17,jul,84,1,-1,0,no
42,married,tertiary,9009,no,no,20,nov,135,2,-1,0,no
43,married,secondary,-465,yes,yes,23,jul,166,1,-1,0,no
44,married,secondary,5181,yes,yes,31,jul,18,7,-1,0,no
37,married,secondary,176,yes,no,5,may,147,2,347,1,no
37,married,unknown,1699,no,no,9,jun,63,1,-1,0,no
37,married,tertiary,0,yes,no,17,nov,65,2,119,1,no
28,single,tertiary,172,yes,yes,2,feb,194,2,-1,0,no
32,single,secondary,0,no,yes,11,jul,333,2,-1,0,no
34,single,secondary,6979,yes,no,15,may,14,5,-1,0,no
40,divorced,secondary,6,no,no,11,jun,140,1,-1,0,no
34,married,secondary,-62,yes,no,16,jun,109,3,-1,0,no
34,married,tertiary,1972,yes,no,23,jul,61,2,-1,0,no
34,married,tertiary,899,yes,no,19,nov,377,3,7,4,no
37,single,secondary,21,yes,no,2,feb,96,1,271,2,no
36,married,secondary,23,yes,no,8,may,152,2,347,1,no
56,married,secondary,-1206,yes,no,15,jun,382,2,-1,0,yes
49,married,primary,0,yes,yes,23,jul,97,6,-1,0,no
33,married,secondary,215,yes,no,29,jul,543,12,-1,0,no
30,single,tertiary,1372,no,no,20,nov,240,2,-1,0,no
36,married,secondary,1981,no,no,17,jun,48,2,-1,0,no
23,single,secondary,9216,no,no,5,jun,471,2,-1,0,no
57,divorced,secondary,39,yes,no,30,jul,354,3,-1,0,no
27,single,secondary,5563,yes,no,30,may,435,2,-1,0,no
38,married,secondary,1,no,yes,21,nov,152,2,-1,0,no
42,married,tertiary,782,no,no,3,apr,285,1,-1,0,no
75,married,secondary,3771,no,no,15,apr,185,1,181,2,yes
34,single,tertiary,992,yes,no,4,may,301,1,88,2,no
48,married,secondary,1526,no,no,6,aug,273,2,-1,0,no
35,single,tertiary,2658,yes,no,19,aug,768,2,141,3,yes
39,divorced,tertiary,1315,yes,no,19,nov,1337,4,126,1,no
29,single,tertiary,455,no,no,21,apr,403,1,-1,0,yes
45,single,tertiary,0,yes,no,18,nov,139,2,-1,0,no
42,married,secondary,2030,yes,yes,9,jul,196,1,-1,0,no
29,married,secondary,1599,yes,no,8,jul,115,1,61,1,no
38,single,secondary,-196,yes,no,2,feb,60,1,271,1,no
56,married,secondary,1333,no,no,28,aug,17,14,-1,0,no
36,single,secondary,9149,yes,no,13,aug,141,3,-1,0,no
25,single,secondary,-350,yes,no,23,jun,95,3,-1,0,no
38,married,tertiary,432,yes,no,15,may,10,2,373,1,no
57,married,secondary,11494,no,no,19,nov,198,1,-1,0,no
31,married,tertiary,-253,no,no,12,aug,220,4,-1,0,no
42,married,tertiary,372,yes,no,3,aug,654,2,-1,0,yes
45,married,secondary,1410,no,no,11,aug,71,2,-1,0,no
30,married,secondary,975,yes,no,13,may,256,2,351,2,no
49,married,primary,305,yes,yes,10,jul,834,10,-1,0,no
49,married,secondary,400,no,no,21,aug,151,3,-1,0,no
53,married,tertiary,-22,yes,no,31,jul,20,3,-1,0,no
37,married,secondary,4030,yes,no,26,may,178,5,-1,0,no
49,married,primary,365,no,no,26,may,59,2,-1,0,no
41,married,primary,204,no,no,13,aug,111,7,-1,0,no
54,married,,1691,yes,no,20,nov,186,1,-1,0,no
32,single,secondary,406,yes,no,6,may,227,1,-1,0,no
33,married,secondary,-204,no,no,15,may,297,3,-1,0,no
33,married,secondary,359,yes,no,20,apr,210,1,242,1,no
36,married,primary,123,yes,no,18,may,9,1,-1,0,no
35,married,tertiary,0,yes,yes,23,sep,112,1,62,6,no
52,married,secondary,142,no,no,25,aug,112,6,-1,0,no
40,married,tertiary,3571,no,no,9,jun,222,3,-1,0,no
44,single,secondary,33,yes,no,13,may,195,3,351,10,no
45,single,secondary,0,yes,no,26,jul,768,2,91,5,no
30,single,secondary,3096,no,no,26,jan,123,1,-1,0,no
48,divorced,secondary,20,no,no,27,aug,145,3,-1,0,no
33,married,secondary,3576,yes,no,2,apr,124,1,308,2,no
57,married,unknown,206,yes,no,5,may,216,3,-1,0,no
57,married,primary,7082,no,no,6,jun,69,3,-1,0,no
51,married,tertiary,1634,yes,no,22,jul,168,4,-1,0,no
34,single,secondary,1,yes,no,22,jul,483,7,-1,0,no
50,married,tertiary,4012,no,no,19,nov,690,3,-1,0,no
44,married,tertiary,3762,no,no,28,aug,125,12,-1,0,no
27,married,secondary,-247,yes,yes,4,jun,344,2,-1,0,no
50,married,secondary,606,yes,no,14,may,673,2,-1,0,no
36,married,tertiary,0,yes,no,28,jan,60,1,250,1,no
42,married,secondary,-189,yes,no,12,may,247,2,-1,0,no
32,single,secondary,0,no,no,27,may,123,2,-1,0,no
42,married,tertiary,484,yes,no,11,jul,144,2,-1,0,no
43,married,secondary,0,no,yes,8,may,9,2,172,5,no
31,married,tertiary,395,yes,no,9,feb,155,3,-1,0,no
32,married,tertiary,2349,no,no,14,aug,134,5,-1,0,no
55,divorced,primary,410,no,yes,11,jul,221,2,-1,0,no
58,married,primary,3401,yes,no,3,feb,84,3,265,2,no
46,married,primary,222,no,no,8,aug,71,2,-1,0,no
55,married,secondary,989,yes,yes,23,may,246,4,-1,0,no
34,married,tertiary,415,no,yes,23,jul,361,2,-1,0,no
28,single,secondary,16,no,no,12,aug,119,4,-1,0,no
42,divorced,tertiary,7190,yes,no,29,jul,375,2,-1,0,no
29,single,secondary,482,no,yes,10,jul,1097,3,-1,0,yes
54,married,secondary,209,yes,yes,25,jul,97,1,-1,0,no
32,single,secondary,0,no,no,26,aug,181,2,-1,0,no
39,single,tertiary,5803,no,no,2,feb,83,3,-1,0,no
53,married,tertiary,624,no,yes,21,jul,180,4,-1,0,no
58,married,tertiary,883,no,no,18,aug,543,1,78,2,no
40,married,secondary,1516,yes,yes,23,may,373,1,-1,0,no
29,single,secondary,872,yes,no,7,may,230,1,-1,0,no
33,married,tertiary,-988,yes,yes,15,jul,83,3,-1,0,no
38,single,secondary,902,yes,no,31,jul,58,13,-1,0,no
56,divorced,secondary,1007,no,no,29,jul,88,6,-1,0,no
40,married,secondary,0,yes,no,2,jun,297,1,28,3,no
24,single,secondary,174,yes,yes,18,may,487,1,-1,0,yes
46,married,secondary,12186,no,no,20,jun,29,3,-1,0,no
35,married,secondary,524,yes,no,21,nov,484,4,-1,0,no
35,single,tertiary,0,yes,no,21,jul,262,4,-1,0,no
34,married,secondary,4,yes,no,15,may,644,1,-1,0,no
35,married,tertiary,11219,no,no,12,aug,699,2,79,1,no
38,single,tertiary,0,no,no,28,aug,247,2,-1,0,no
50,married,primary,5776,no,no,18,nov,49,3,-1,0,no
51,divorced,primary,37,yes,no,13,may,341,1,-1,0,no
59,married,tertiary,593,no,no,13,may,64,2,-1,0,no
32,married,secondary,1148,yes,no,20,apr,121,1,-1,0,no
37,single,secondary,3561,yes,no,2,jun,98,1,-1,0,no
42,divorced,secondary,63,no,no,16,may,88,6,-1,0,no
40,married,secondary,260,no,no,20,jun,197,6,-1,0,no
28,single,tertiary,2269,yes,no,9,may,331,1,-1,0,no
47,married,secondary,1060,yes,no,6,jun,83,3,-1,0,no
27,married,secondary,-220,yes,no,26,may,138,2,-1,0,no
41,married,tertiary,49,yes,no,17,jul,312,5,-1,0,no
34,married,tertiary,69,no,yes,4,aug,120,3,1,6,yes
50,married,primary,4108,yes,no,7,aug,526,2,-1,0,yes
47,married,secondary,480,yes,no,28,may,211,2,-1,0,no
53,married,secondary,4994,no,no,18,aug,62,6,-1,0,no
53,divorced,secondary,0,yes,yes,15,jul,135,5,-1,0,no
47,married,tertiary,3681,no,no,14,aug,101,2,-1,0,no
49,divorced,unknown,-701,yes,no,30,jul,988,2,-1,0,yes
29,married,tertiary,451,no,no,28,jan,451,1,-1,0,no
45,divorced,primary,-311,yes,no,23,may,1030,1,-1,0,yes
38,married,secondary,593,yes,yes,24,jul,1484,24,-1,0,yes
32,married,secondary,759,yes,no,9,apr,317,5,-1,0,yes
70,divorced,primary,4531,no,no,18,may,445,1,-1,0,no
65,divorced,primary,1840,no,no,1,jun,383,2,188,5,no
56,married,secondary,345,yes,no,22,jul,605,1,-1,0,no
35,married,secondary,1287,yes,no,14,jul,330,2,-1,0,no
56,married,unknown,353,no,yes,25,jul,171,2,-1,0,no
56,married,secondary,205,no,yes,23,jul,442,2,-1,0,no
49,married,secondary,687,yes,no,17,apr,772,1,-1,0,yes
38,married,primary,1147,yes,yes,8,may,249,5,-1,0,no
35,married,tertiary,4286,yes,no,9,may,357,1,-1,0,no
38,married,tertiary,605,no,no,18,nov,147,2,-1,0,no
49,married,secondary,8545,yes,yes,6,,199,7,167,1,no
55,married,unknown,559,no,no,28,jan,271,2,-1,0,no
43,single,primary,2,yes,no,30,jul,783,3,-1,0,no
43,married,tertiary,2,no,yes,20,aug,472,2,-1,0,no
25,single,tertiary,760,yes,no,27,may,223,3,89,2,yes
30,married,primary,1317,yes,no,21,may,395,2,-1,0,no
46,married,secondary,182,no,no,4,feb,56,1,-1,0,no
50,married,primary,276,no,yes,17,jun,641,6,-1,0,no
35,married,secondary,,no,no,4,may,429,4,164,2,yes
26,single,secondary,1064,no,no,31,may,113,1,-1,0,no
45,married,unknown,1783,no,no,20,jun,11,11,-1,0,no
37,married,secondary,-67,no,no,2,feb,157,1,-1,0,no
60,single,tertiary,179,no,yes,29,jul,79,4,-1,0,no
38,married,tertiary,1199,no,no,4,aug,178,1,1,1,yes
47,married,primary,214,yes,yes,9,jun,168,1,-1,0,no
33,married,secondary,6699,no,no,9,nov,425,1,462,1,no
51,married,secondary,1760,no,yes,19,nov,162,1,-1,0,no
35,single,tertiary,145,yes,no,18,,799,2,-1,0,yes
35,married,secondary,978,no,no,29,dec,1370,3,209,3,yes
48,single,secondary,1150,yes,no,28,may,357,1,-1,0,no
37,married,secondary,121,no,no,22,jul,22,6,-1,0,no
29,single,tertiary,828,yes,no,16,apr,215,3,321,3,no
34,married,secondary,244,yes,no,31,jul,56,4,-1,0,no
32,married,primary,228,yes,no,21,jul,1017,6,-1,0,yes
30,single,tertiary,424,no,no,16,apr,298,4,-1,0,yes
47,divorced,tertiary,447,no,yes,7,may,126,1,-1,0,no
33,married,primary,-195,no,no,20,sep,9,1,-1,0,no
33,single,tertiary,1410,yes,no,5,feb,8,1,254,5,no
63,married,primary,1084,no,no,14,oct,201,1,183,1,no
51,divorced,primary,10924,no,no,6,may,106,2,-1,0,no
41,married,tertiary,832,yes,yes,21,nov,164,1,176,1,no
56,married,tertiary,478,no,no,5,feb,97,1,-1,0,no
60,single,tertiary,0,no,yes,23,jul,151,1,-1,0,no
41,single,tertiary,3950,yes,no,30,may,96,2,-1,0,no
37,single,unknown,504,yes,no,16,apr,555,1,-1,0,no
36,single,secondary,219,yes,yes,11,may,270,2,347,1,no
57,married,tertiary,1602,no,no,29,jul,339,3,-1,0,no
55,married,primary,2587,no,no,4,sep,328,2,94,2,yes
44,married,secondary,0,yes,yes,16,may,159,1,-1,0,no
47,married,tertiary,2303,yes,no,6,may,323,2,364,1,no
31,married,secondary,1660,yes,no,20,apr,342,1,-1,0,no
35,married,tertiary,32,yes,no,21,nov,180,1,-1,0,no
39,married,tertiary,278,no,yes,28,jul,60,3,-1,0,no
50,married,tertiary,4,no,no,17,nov,223,1,96,2,no
29,married,tertiary,318,yes,no,18,may,1434,2,356,4,no
30,single,secondary,209,yes,no,6,may,30,2,-1,0,no
46,married,secondary,271,yes,no,16,may,134,4,-1,0,no
27,single,unknown,3196,no,no,9,feb,10,2,-1,0,no
48,divorced,secondary,4099,no,no,2,apr,397,2,-1,0,yes
26,single,secondary,2572,yes,no,5,may,620,1,-1,0,no
36,single,tertiary,339,no,no,21,nov,6,6,-1,0,no
42,married,primary,0,yes,yes,7,may,209,2,-1,0,no
50,married,primary,395,yes,no,15,may,419,2,-1,0,no
49,married,secondary,2039,yes,no,18,nov,283,2,-1,0,no
45,married,tertiary,5450,no,no,8,aug,188,2,-1,0,no
23,single,secondary,780,no,no,16,sep,267,1,-1,0,no
38,single,secondary,0,yes,no,7,apr,196,2,-1,0,no
32,single,tertiary,8436,yes,no,17,apr,245,1,149,2,no
60,single,primary,11262,no,no,26,aug,323,1,-1,0,yes
30,married,secondary,946,yes,no,19,nov,1065,1,183,1,no
58,married,tertiary,497,no,no,11,jun,138,5,-1,0,no
60,married,primary,55,no,no,4,jun,207,1,-1,0,no
38,married,secondary,-140,no,no,25,jun,456,3,-1,0,no
51,married,secondary,-379,yes,no,5,aug,261,1,-1,0,no
42,married,secondary,-396,yes,no,11,may,80,1,308,4,no
30,single,secondary,0,yes,no,18,may,131,6,363,9,no
40,married,primary,733,yes,no,6,jun,94,7,-1,0,no
37,married,tertiary,393,yes,no,14,may,567,3,275,4,yes
53,divorced,primary,7290,yes,no,30,may,153,1,-1,0,no
27,single,secondary,468,yes,no,13,may,109,1,-1,0,no
39,married,secondary,0,yes,no,30,apr,53,1,325,1,no
39,married,primary,3705,yes,no,16,jun,77,1,-1,0,no
59,married,tertiary,9676,no,no,27,mar,234,2,-1,0,yes
37,married,secondary,1328,yes,no,13,may,121,2,341,4,no
41,married,primary,8,yes,no,15,jul,155,2,-1,0,no
45,married,primary,61,no,no,17,apr,108,1,-1,0,no
48,married,tertiary,6613,no,no,17,jun,159,3,-1,0,no
48,married,secondary,302,yes,no,26,may,208,3,-1,0,no
32,married,secondary,1005,no,no,12,may,215,1,-1,0,no
35,married,secondary,109,yes,no,6,may,597,3,-1,0,no
33,single,tertiary,1240,yes,no,4,feb,505,2,260,1,no
28,single,primary,0,yes,yes,3,jun,380,4,-1,0,no
64,married,unknown,2923,no,no,12,mar,120,1,-1,0,no
35,married,secondary,0,no,no,27,aug,106,4,-1,0,no
33,married,secondary,43,yes,no,14,may,332,2,358,2,no
41,married,secondary,288,yes,no,15,may,221,4,-1,0,no
34,married,secondary,613,yes,no,4,jun,80,1,-1,0,no
37,single,tertiary,6101,no,no,4,may,60,5,87,1,no
38,married,primary,168,yes,yes,13,may,212,3,-1,0,no
39,married,primary,7685,yes,no,14,apr,493,3,-1,0,no
35,divorced,tertiary,4515,yes,no,19,nov,98,2,-1,0,no
28,single,secondary,517,no,yes,8,jul,681,1,-1,0,yes
27,single,secondary,148,no,no,22,jul,203,1,-1,0,no
48,married,primary,-285,no,yes,19,nov,157,1,-1,0,no
50,married,secondary,887,no,no,16,jun,287,1,-1,0,no
45,married,secondary,,yes,no,7,aug,159,2,-1,0,no
41,married,tertiary,744,yes,no,14,may,125,1,-1,0,no
39,married,secondary,130,no,no,8,jul,202,2,-1,0,no
44,married,secondary,438,yes,no,8,may,37,3,303,1,no
54,married,secondary,0,no,no,28,jan,161,1,98,2,yes
49,married,tertiary,322,no,no,6,aug,72,4,-1,0,no
34,single,secondary,186,no,no,2,feb,342,1,-1,0,no
75,divorced,tertiary,3810,yes,no,16,nov,262,1,183,1,yes
42,married,tertiary,0,no,no,13,aug,325,2,-1,0,no
53,married,secondary,4380,no,no,19,aug,223,7,-1,0,no
49,divorced,tertiary,755,no,no,31,jul,1212,4,-1,0,yes
31,single,secondary,2070,no,no,29,aug,319,2,-1,0,no
45,single,primary,999,no,no,29,jan,182,2,-1,0,no
39,married,secondary,167,yes,yes,17,jul,330,1,-1,0,no
46,married,secondary,1322,yes,yes,19,nov,514,1,-1,0,no
42,divorced,secondary,1076,yes,no,14,may,213,1,-1,0,no
37,married,tertiary,502,yes,no,7,may,551,1,351,1,no
26,single,tertiary,1216,yes,no,16,apr,472,2,-1,0,no
37,single,tertiary,876,yes,no,15,apr,140,4,327,2,no
36,single,secondary,342,yes,no,7,may,142,1,-1,0,no
29,single,primary,950,yes,no,4,jun,135,3,-1,0,no
36,married,primary,973,yes,yes,23,may,293,1,-1,0,no
26,married,tertiary,3825,yes,no,13,may,107,1,-1,0,no
32,married,secondary,2366,yes,no,20,may,127,2,-1,0,no
40,married,tertiary,542,yes,no,20,nov,1816,1,-1,0,no
53,married,primary,995,no,no,4,feb,200,3,-1,0,no
29,married,tertiary,20,yes,no,12,may,418,1,-1,0,no
34,single,tertiary,228,yes,no,22,jul,387,4,-1,0,no
43,married,secondary,130,no,no,5,may,156,1,337,3,no
56,married,tertiary,217,no,yes,21,jul,121,2,-1,0,no
55,divorced,tertiary,0,no,no,6,jun,108,2,-1,0,no
31,married,tertiary,259,yes,no,7,may,47,1,-1,0,no
27,single,secondary,619,yes,no,20,apr,16,5,322,4,no
36,married,secondary,644,yes,no,18,nov,54,2,-1,0,no
44,married,tertiary,22,yes,no,6,aug,265,2,-1,0,no
37,divorced,tertiary,4303,yes,no,23,may,168,1,-1,0,no
30,single,secondary,239,yes,no,7,may,115,3,-1,0,no
42,single,secondary,275,no,no,26,aug,31,8,-1,0,no
30,married,tertiary,1221,yes,no,25,jul,279,4,-1,0,yes
62,married,secondary,816,no,no,1,sep,28,2,-1,0,no
24,married,secondary,1222,yes,no,20,apr,369,1,-1,0,no
31,married,secondary,2363,yes,no,13,may,247,1,-1,0,no
